Round,Date,Team 1,FT,HT,Team 2
?,(Sat) 5 Sep 1998 (35),Cremonese (1),3-2,2-1,Torino FC (1)
?,(Sun) 6 Sep 1998 (35),Atalanta BC (1),1-0,0-0,Genoa CFC (1)
?,(Sun) 6 Sep 1998 (35),Brescia (1),3-0,0-0,Cesena (1)
?,(Sun) 6 Sep 1998 (35),US Lecce (1),1-0,1-0,Urbs Reggina (1)
?,(Sun) 6 Sep 1998 (35),SS Monza (1),0-0,0-0,AS Lucchese Libertas (1)
?,(Sun) 6 Sep 1998 (35),SSC Napoli (1),1-2,1-2,Cosenza Calcio (1)
?,(Sun) 6 Sep 1998 (35),Ravenna FC (1),3-0,2-0,SS Fidelis Andria (1)
?,(Sun) 6 Sep 1998 (35),Ternana (1),0-0,0-0,AC Reggiana (1)
?,(Sun) 6 Sep 1998 (35),ACD Treviso (1),1-0,0-0,AC Chievo Verona (1)
?,(Sun) 6 Sep 1998 (35),Hellas Verona FC (1),4-1,2-0,Pescara (1)
?,(Sat) 12 Sep 1998 (36),Pescara (2),0-1,0-0,SSC Napoli (2)
?,(Sun) 13 Sep 1998 (36),Cesena (2),2-3,0-2,ACD Treviso (2)
?,(Sun) 13 Sep 1998 (36),AC Chievo Verona (2),2-0,2-0,Atalanta BC (2)
?,(Sun) 13 Sep 1998 (36),Cosenza Calcio (2),1-1,1-0,Ternana (2)
?,(Sun) 13 Sep 1998 (36),SS Fidelis Andria (2),1-1,0-1,Brescia (2)
?,(Sun) 13 Sep 1998 (36),Genoa CFC (2),0-1,0-1,US Lecce (2)
?,(Sun) 13 Sep 1998 (36),AS Lucchese Libertas (2),1-2,0-1,Hellas Verona FC (2)
?,(Sun) 13 Sep 1998 (36),AC Reggiana (2),1-1,0-0,Cremonese (2)
?,(Sun) 13 Sep 1998 (36),Urbs Reggina (2),0-0,0-0,SS Monza (2)
?,(Sun) 13 Sep 1998 (36),Torino FC (2),3-0,0-0,Ravenna FC (2)
?,(Sat) 19 Sep 1998 (37),Hellas Verona FC (3),2-5,0-3,AC Reggiana (3)
?,(Sun) 20 Sep 1998 (37),Cosenza Calcio (3),2-1,1-0,AC Chievo Verona (3)
?,(Sun) 20 Sep 1998 (37),Cremonese (3),2-1,1-0,SS Fidelis Andria (3)
?,(Sun) 20 Sep 1998 (37),US Lecce (3),0-1,0-0,ACD Treviso (3)
?,(Sun) 20 Sep 1998 (37),AS Lucchese Libertas (3),0-0,0-0,Brescia (3)
?,(Sun) 20 Sep 1998 (37),SS Monza (3),0-2,0-0,Genoa CFC (3)
?,(Sun) 20 Sep 1998 (37),SSC Napoli (3),1-1,1-0,Urbs Reggina (3)
?,(Sun) 20 Sep 1998 (37),Pescara (3),1-0,0-0,Atalanta BC (3)
?,(Sun) 20 Sep 1998 (37),Ravenna FC (3),2-1,1-1,Cesena (3)
?,(Sun) 20 Sep 1998 (37),Ternana (3),2-1,1-0,Torino FC (3)
?,(Sat) 26 Sep 1998 (38),SS Fidelis Andria (4),0-0,0-0,US Lecce (4)
?,(Sun) 27 Sep 1998 (38),Atalanta BC (4),1-0,1-0,Ternana (4)
?,(Sun) 27 Sep 1998 (38),Brescia (4),1-0,1-0,Cremonese (4)
?,(Sun) 27 Sep 1998 (38),Cesena (4),0-1,0-0,SS Monza (4)
?,(Sun) 27 Sep 1998 (38),AC Chievo Verona (4),0-2,0-1,Pescara (4)
?,(Sun) 27 Sep 1998 (38),Genoa CFC (4),1-3,0-2,Ravenna FC (4)
?,(Sun) 27 Sep 1998 (38),AC Reggiana (4),0-1,0-0,SSC Napoli (4)
?,(Sun) 27 Sep 1998 (38),Urbs Reggina (4),2-1,1-0,AS Lucchese Libertas (4)
?,(Sun) 27 Sep 1998 (38),Torino FC (4),1-0,0-0,Cosenza Calcio (4)
?,(Sun) 27 Sep 1998 (38),ACD Treviso (4),0-0,0-0,Hellas Verona FC (4)
?,(Sat) 3 Oct 1998 (39),SSC Napoli (5),0-0,0-0,Atalanta BC (5)
?,(Sun) 4 Oct 1998 (39),AC Chievo Verona (5),0-2,0-1,Brescia (5)
?,(Sun) 4 Oct 1998 (39),Cosenza Calcio (5),2-0,2-0,SS Fidelis Andria (5)
?,(Sun) 4 Oct 1998 (39),Cremonese (5),0-0,0-0,Hellas Verona FC (5)
?,(Sun) 4 Oct 1998 (39),US Lecce (5),1-1,1-0,Torino FC (5)
?,(Sun) 4 Oct 1998 (39),AS Lucchese Libertas (5),0-0,0-0,Cesena (5)
?,(Sun) 4 Oct 1998 (39),SS Monza (5),0-0,0-0,ACD Treviso (5)
?,(Sun) 4 Oct 1998 (39),Pescara (5),1-0,1-0,AC Reggiana (5)
?,(Sun) 4 Oct 1998 (39),Ravenna FC (5),1-1,1-0,Urbs Reggina (5)
?,(Sun) 4 Oct 1998 (39),Ternana (5),0-0,0-0,Genoa CFC (5)
?,(Sat) 10 Oct 1998 (40),Genoa CFC (6),3-2,1-1,Pescara (6)
?,(Sun) 11 Oct 1998 (40),Atalanta BC (6),1-1,0-1,Ravenna FC (6)
?,(Sun) 11 Oct 1998 (40),Brescia (6),0-0,0-0,Cosenza Calcio (6)
?,(Sun) 11 Oct 1998 (40),Cesena (6),0-0,0-0,SSC Napoli (6)
?,(Sun) 11 Oct 1998 (40),SS Fidelis Andria (6),1-0,0-0,AS Lucchese Libertas (6)
?,(Sun) 11 Oct 1998 (40),AC Reggiana (6),2-1,0-1,US Lecce (6)
?,(Sun) 11 Oct 1998 (40),Ternana (6),2-1,1-0,SS Monza (6)
?,(Sun) 11 Oct 1998 (40),Torino FC (6),2-0,1-0,AC Chievo Verona (6)
?,(Sun) 11 Oct 1998 (40),ACD Treviso (6),3-1,1-1,Cremonese (6)
?,(Sun) 11 Oct 1998 (40),Hellas Verona FC (6),3-1,2-0,Urbs Reggina (6)
?,(Sat) 17 Oct 1998 (41),Torino FC (7),3-0,1-0,Genoa CFC (7)
?,(Sun) 18 Oct 1998 (41),Atalanta BC (7),0-0,0-0,Cesena (7)
?,(Sun) 18 Oct 1998 (41),AC Chievo Verona (7),1-0,0-0,Ternana (7)
?,(Sun) 18 Oct 1998 (41),Cosenza Calcio (7),0-1,0-0,Hellas Verona FC (7)
?,(Sun) 18 Oct 1998 (41),US Lecce (7),2-0,0-0,Brescia (7)
?,(Sun) 18 Oct 1998 (41),SS Monza (7),1-0,1-0,SS Fidelis Andria (7)
?,(Sun) 18 Oct 1998 (41),SSC Napoli (7),1-1,1-1,ACD Treviso (7)
?,(Sun) 18 Oct 1998 (41),Pescara (7),0-0,0-0,AS Lucchese Libertas (7)
?,(Sun) 18 Oct 1998 (41),Ravenna FC (7),1-0,1-0,AC Reggiana (7)
?,(Sun) 18 Oct 1998 (41),Urbs Reggina (7),0-0,0-0,Cremonese (7)
?,(Sat) 31 Oct 1998 (43),ACD Treviso (8),4-2,1-1,Urbs Reggina (8)
?,(Sun) 1 Nov 1998 (43),Cesena (8),1-1,1-0,Pescara (8)
?,(Sun) 1 Nov 1998 (43),Cremonese (8),0-2,0-1,US Lecce (8)
?,(Sun) 1 Nov 1998 (43),SS Fidelis Andria (8),0-1,0-0,AC Chievo Verona (8)
?,(Sun) 1 Nov 1998 (43),Genoa CFC (8),0-0,0-0,Cosenza Calcio (8)
