Round,Date,Team 1,FT,HT,Team 2
?,(Sun) 29 Aug 1999 (34),Alzano (1),2-1,0-1,Monza (1)
?,(Sun) 29 Aug 1999 (34),Brescia (1),1-1,0-1,Savoia (1)
?,(Sun) 29 Aug 1999 (34),Cesena (1),0-0,0-0,Pescara (1)
?,(Sun) 29 Aug 1999 (34),Chievo (1),3-1,1-1,Salernitana (1)
?,(Sun) 29 Aug 1999 (34),Cosenza (1),0-1,0-1,Atalanta (1)
?,(Sun) 29 Aug 1999 (34),Empoli (1),1-0,0-0,Fermana (1)
?,(Sun) 29 Aug 1999 (34),Genoa (1),2-0,0-0,Ternana (1)
?,(Sun) 29 Aug 1999 (34),Napoli (1),1-1,0-1,Ravenna (1)
?,(Sun) 29 Aug 1999 (34),Pistoiese (1),0-1,0-1,Sampdoria (1)
?,(Sun) 29 Aug 1999 (34),Treviso (1),0-1,0-0,Vicenza (1)
?,(Sun) 5 Sep 1999 (35),Atalanta (2),3-2,2-0,Treviso (2)
?,(Sun) 5 Sep 1999 (35),Fermana (2),0-0,0-0,Pistoiese (2)
?,(Sun) 5 Sep 1999 (35),Monza (2),0-0,0-0,Napoli (2)
?,(Sun) 5 Sep 1999 (35),Pescara (2),2-1,1-0,Chievo (2)
?,(Sun) 5 Sep 1999 (35),Ravenna (2),0-0,0-0,Cosenza (2)
?,(Sun) 5 Sep 1999 (35),Salernitana (2),1-1,0-1,Cesena (2)
?,(Sun) 5 Sep 1999 (35),Sampdoria (2),0-0,0-0,Brescia (2)
?,(Sun) 5 Sep 1999 (35),Savoia (2),1-0,1-0,Empoli (2)
?,(Sun) 5 Sep 1999 (35),Ternana (2),1-0,0-0,Alzano (2)
?,(Sun) 5 Sep 1999 (35),Vicenza (2),1-1,0-0,Genoa (2)
?,(Sun) 12 Sep 1999 (36),Alzano (3),2-1,0-1,Chievo (3)
?,(Sun) 12 Sep 1999 (36),Brescia (3),4-1,4-1,Salernitana (3)
?,(Sun) 12 Sep 1999 (36),Cosenza (3),2-1,1-1,Monza (3)
?,(Sun) 12 Sep 1999 (36),Empoli (3),1-0,1-0,Sampdoria (3)
?,(Sun) 12 Sep 1999 (36),Genoa (3),1-2,0-0,Pescara (3)
?,(Sun) 12 Sep 1999 (36),Napoli (3),4-0,0-0,Fermana (3)
?,(Sun) 12 Sep 1999 (36),Pistoiese (3),2-1,0-0,Savoia (3)
?,(Sun) 12 Sep 1999 (36),Ravenna (3),1-3,1-1,Atalanta (3)
?,(Sun) 12 Sep 1999 (36),Ternana (3),1-0,1-0,Vicenza (3)
?,(Sun) 12 Sep 1999 (36),Treviso (3),2-1,1-1,Cesena (3)
?,(Sun) 19 Sep 1999 (37),Cesena (4),1-0,1-0,Genoa (4)
?,(Sun) 19 Sep 1999 (37),Chievo (4),0-1,0-0,Ternana (4)
?,(Sun) 19 Sep 1999 (37),Fermana (4),1-2,0-1,Brescia (4)
?,(Sun) 19 Sep 1999 (37),Monza (4),1-0,0-0,Empoli (4)
?,(Sun) 19 Sep 1999 (37),Pescara (4),1-1,0-0,Cosenza (4)
?,(Sun) 19 Sep 1999 (37),Salernitana (4),2-0,0-0,Pistoiese (4)
?,(Sun) 19 Sep 1999 (37),Sampdoria (4),2-1,1-1,Ravenna (4)
?,(Sun) 19 Sep 1999 (37),Savoia (4),1-0,0-0,Treviso (4)
?,(Sun) 19 Sep 1999 (37),Vicenza (4),3-1,1-0,Alzano (4)
?,(Mon) 20 Sep 1999 (38),Atalanta (4),1-0,0-0,Napoli (4)
?,(Fri) 24 Sep 1999 (38),Genoa (5),3-0,1-0,Salernitana (5)
?,(Sun) 26 Sep 1999 (38),Alzano (5),0-1,0-1,Brescia (5)
?,(Sun) 26 Sep 1999 (38),Empoli (5),2-1,1-0,Cesena (5)
?,(Sun) 26 Sep 1999 (38),Napoli (5),2-1,0-1,Vicenza (5)
?,(Sun) 26 Sep 1999 (38),Pescara (5),4-2,1-2,Fermana (5)
?,(Sun) 26 Sep 1999 (38),Pistoiese (5),2-1,0-0,Chievo (5)
?,(Sun) 26 Sep 1999 (38),Ravenna (5),4-0,2-0,Savoia (5)
?,(Sun) 26 Sep 1999 (38),Ternana (5),1-1,1-1,Atalanta (5)
?,(Sun) 26 Sep 1999 (38),Treviso (5),3-1,2-0,Monza (5)
?,(Mon) 27 Sep 1999 (39),Cosenza (5),1-2,0-0,Sampdoria (5)
?,(Fri) 1 Oct 1999 (39),Vicenza (6),6-0,5-0,Empoli (6)
?,(Sun) 3 Oct 1999 (39),Atalanta (6),3-1,2-0,Pescara (6)
?,(Sun) 3 Oct 1999 (39),Brescia (6),2-0,1-0,Pistoiese (6)
?,(Sun) 3 Oct 1999 (39),Cesena (6),1-1,1-0,Alzano (6)
?,(Sun) 3 Oct 1999 (39),Chievo (6),1-0,1-0,Genoa (6)
?,(Sun) 3 Oct 1999 (39),Fermana (6),1-1,0-0,Treviso (6)
?,(Sun) 3 Oct 1999 (39),Monza (6),1-1,1-1,Ravenna (6)
?,(Sun) 3 Oct 1999 (39),Sampdoria (6),2-2,1-1,Ternana (6)
?,(Sun) 3 Oct 1999 (39),Savoia (6),2-2,1-2,Cosenza (6)
?,(Mon) 4 Oct 1999 (40),Salernitana (6),1-1,0-1,Napoli (6)
?,(Fri) 8 Oct 1999 (40),Monza (7),1-1,1-0,Brescia (7)
?,(Sun) 10 Oct 1999 (40),Alzano (7),3-2,3-0,Salernitana (7)
?,(Sun) 10 Oct 1999 (40),Cosenza (7),1-0,0-0,Genoa (7)
?,(Sun) 10 Oct 1999 (40),Fermana (7),3-2,2-1,Savoia (7)
?,(Sun) 10 Oct 1999 (40),Napoli (7),3-2,0-0,Chievo (7)
?,(Sun) 10 Oct 1999 (40),Pescara (7),2-2,2-0,Treviso (7)
?,(Sun) 10 Oct 1999 (40),Ravenna (7),2-1,2-1,Vicenza (7)
?,(Sun) 10 Oct 1999 (40),Sampdoria (7),1-0,0-0,Atalanta (7)
?,(Sun) 10 Oct 1999 (40),Ternana (7),2-2,2-0,Cesena (7)
?,(Mon) 11 Oct 1999 (41),Pistoiese (7),2-0,1-0,Empoli (7)
?,(Fri) 22 Oct 1999 (42),Genoa (8),1-1,0-1,Sampdoria (8)
?,(Sun) 24 Oct 1999 (42),Atalanta (8),3-1,3-1,Pistoiese (8)
